,Station,Easting,Northing,Elevation,DTM,RockSurface,StationReal,RockCover,WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Description,Unit,BoreClass,SupportClass,DisposalClass,StationInterval,ExcavationVolume,DisposalVolume
0,204+874.1,2612071.548,1269294.122,270.962,253.524,236.0,204874.1,-34.96199999999999,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,0.899818870553513,NaN,NaN
1,204+875,2612072.229,1269294.71,270.975,253.524,236.0,204875.0,-34.97500000000002,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,5.000272492828591,NaN,NaN
2,204+880,2612076.083,1269297.895,271.047,253.16,236.0,204880.0,-35.047000000000025,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,5.000597064364684,NaN,NaN
3,204+885,2612080.052,1269300.936,271.12,252.934,235.815,204885.0,-35.30500000000001,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,5.000708849675966,NaN,NaN
4,204+890,2612084.131,1269303.828,271.192,252.934,235.815,204890.0,-35.37700000000001,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,4.999657388319301,NaN,NaN
5,204+895,2612088.313,1269306.567,271.265,252.574,235.815,204895.0,-35.44999999999999,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,5.00040338362476,NaN,NaN
6,204+900,2612092.594,1269309.15,271.337,252.013,235.707,204900.0,-35.629999999999995,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,5.000813333794785,NaN,NaN
7,204+905,2612096.968,1269311.573,271.41,251.805,235.707,204905.0,-35.70300000000003,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,4.999546479672018,NaN,NaN
8,204+910,2612101.427,1269313.833,271.482,251.631,235.707,204910.0,-35.775000000000034,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,5.0010844820693015,NaN,NaN
9,204+915,2612105.968,1269315.927,271.555,251.149,235.707,204915.0,-35.84800000000001,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,4.999595583744191,NaN,NaN
10,204+920,2612110.582,1269317.851,271.627,251.157,235.707,204920.0,-35.920000000000016,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,4.999946199747602,NaN,NaN
11,204+925,2612115.264,1269319.604,271.7,251.114,236.0,204925.0,-35.69999999999999,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.647191719721912,NaN,NaN
12,204+927.647,2612117.768,1269320.462,271.738,250.696,236.0,204927.647,-35.738,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.353408166633134,NaN,NaN
13,204+930,2612120.008,1269321.183,271.771,250.666,236.0,204930.0,-35.771000000000015,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,5.0002905916476745,NaN,NaN
14,204+935,2612124.807,1269322.586,271.835,250.666,236.0,204935.0,-35.83499999999998,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,5.000430481280698,NaN,NaN
15,204+940,2612129.655,1269323.81,271.89,250.637,236.0,204940.0,-35.889999999999986,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,4.999637087236401,NaN,NaN
16,204+945,2612134.544,1269324.855,271.935,250.638,235.707,204945.0,-36.22800000000001,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,4.99918403309713,NaN,NaN
17,204+950,2612139.468,1269325.718,271.971,248.991,235.707,204950.0,-36.26400000000001,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,5.000666055530153,NaN,NaN
18,204+955,2612144.422,1269326.399,271.999,249.589,235.707,204955.0,-36.29200000000003,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,4.999795795920144,NaN,NaN
19,204+960,2612149.397,1269326.896,272.017,250.456,235.707,204960.0,-36.31,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,4.99887967454738,NaN,NaN
20,204+965,2612154.386,1269327.21,272.026,250.596,235.707,204965.0,-36.31900000000002,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,4.999664488879905,NaN,NaN
21,204+970,2612159.384,1269327.339,272.026,250.735,235.667,204970.0,-36.35900000000001,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,5.000310590352647,NaN,NaN
22,204+975,2612164.384,1269327.284,272.017,250.795,235.667,204975.0,-36.349999999999994,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,4.999847797627582,NaN,NaN
23,204+980,2612169.378,1269327.043,271.998,250.881,235.667,204980.0,-36.33099999999999,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,5.000082899166667,NaN,NaN
24,204+985,2612174.36,1269326.619,271.971,250.954,235.667,204985.0,-36.304,1,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,4.999240342581331,NaN,NaN
